City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Nampa,US,76.28,clear sky,43.5407,-116.5635,Nampa Downtown
1,Nizhnevartovsk,RU,66.22,clear sky,60.9344,76.5531,Luch
4,Manggar,ID,78.26,overcast clouds,-2.8833,108.2667,Guest Hotel
5,Guerrero Negro,MX,73.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
8,Mount Isa,AU,67.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
9,Foligno,IT,68.13,scattered clouds,42.944,12.7011,City Hotel & Suites
13,Mogadishu,SO,78.37,light rain,2.0371,45.3438,Hotel Juba
14,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Rikitea,PF,70.86,broken clouds,-23.1203,-134.9692,People ThankYou
17,Barrow,US,66.22,clear sky,71.2906,-156.7887,King Eider Inn
18,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
21,Yellowknife,CA,72.12,few clouds,62.456,-114.3525,The Explorer Hotel
22,Flinders,AU,60.39,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
23,Vrable,SK,69.03,overcast clouds,48.2437,18.3085,Hotel Prédium
24,Cape Town,ZA,60.39,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
25,Maku,IR,66.18,clear sky,39.2911,44.4521,Maku Tourist Hotel
27,Albany,US,77.41,broken clouds,42.6001,-73.9662,Maku Tourist Hotel
32,Busselton,AU,61.54,overcast clouds,-33.65,115.3333,Observatory Guest House
34,Jamestown,US,67.59,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
35,Tortoli,IT,73.22,clear sky,39.9256,9.6572,Hotel La Bitta
38,Preobrazheniye,RU,62.02,broken clouds,42.9019,133.9064,Campsite Orlan
40,Champoton,MX,75.99,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
42,Algiers,DZ,73.22,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
48,Harper,LR,75.58,moderate rain,4.375,-7.7169,Screensaver
49,Hualmay,PE,62.64,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
51,Fortuna,US,74.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
53,San Carlos,VE,73.08,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
61,Tres Picos,MX,79.18,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
67,Arraial Do Cabo,BR,71.46,light rain,-22.9661,-42.0278,Pousada Porto Praia
70,Anchorage,US,67.08,clear sky,61.2181,-149.9003,Hotel Captain Cook
71,Atuona,PF,78.24,scattered clouds,-9.8,-139.0333,Villa Enata
72,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Hotel Imperador
73,Shelburne,CA,68.31,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
82,Kasongo-Lunda,CD,68.32,scattered clouds,-6.4667,16.8167,The Retreat at the Farm
84,Juruti,BR,75.83,broken clouds,-2.1522,-56.0922,Pousada Marupiara
95,Airai,TL,63.28,overcast clouds,-8.9266,125.4092,Pousada Marupiara
97,Bainbridge,US,70.84,broken clouds,47.6262,-122.5212,Bainbridge Island Country Inn
100,Chapais,CA,69.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
101,Palani,IN,75.87,overcast clouds,10.4667,77.5333,Palani Temple Accommodation
104,Ust-Omchug,RU,67.01,overcast clouds,61.15,149.6333,Palani Temple Accommodation
105,Huangnihe,CN,71.78,overcast clouds,43.5583,128.0239,Jinxin Bathing Fashion Hotel
106,Adolfo Lopez Mateos,MX,72.93,overcast clouds,28.4667,-107.3,Hotel Victor Inn
108,Naze,JP,77.92,broken clouds,28.3667,129.4833,Shishime Hotel
111,Bethel,US,77.09,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
114,Sao Joao Da Barra,BR,70.25,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
118,Karpathos,GR,71.56,clear sky,35.507,27.2132,Alex
121,Komsomolskiy,UZ,66.92,light rain,40.4272,71.7189,Ikathouse
122,Asfi,MA,66.22,clear sky,32.2994,-9.2372,Hôtel Abda
123,Fukue,JP,73.76,fog,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
126,Kapit,MY,74.44,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
127,Ulaangom,MN,64.54,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
128,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Baneh,IR,65.21,clear sky,35.9975,45.8853,ساختمان زیتون
133,Leninskoye,KZ,61.84,overcast clouds,41.7589,69.3864,Қалдыбайдың үйі 🏘️
134,Saint-Philippe,RE,63.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
136,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
137,Niteroi,BR,71.22,broken clouds,-22.8833,-43.1036,Hotel Viareggio
140,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
141,Turukhansk,RU,72.37,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
142,Songadh,IN,78.87,broken clouds,21.1667,73.5667,SPOT ON 61520 Shivam Guest House
143,Elko,US,69.82,scattered clouds,41.0002,-115.5012,SPOT ON 61520 Shivam Guest House
144,Port Alfred,ZA,62.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
146,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
148,Hay River,CA,66.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
149,Sfantu Gheorghe,RO,67.26,clear sky,45.8667,25.7833,Hotel Park
150,Bestobe,KZ,66.67,overcast clouds,52.4994,73.0975,Hotel Park
152,Januaria,BR,68.13,clear sky,-15.4833,-44.3667,Hotel Paraguassu
153,Sayyan,YE,67.24,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
155,Atkarsk,RU,63.21,overcast clouds,51.8718,45.0078,Hotel Kareta
157,Virginia Beach,US,78.87,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
158,Arenapolis,BR,71.76,few clouds,-14.4503,-56.8461,Mato Grosso Hotel
159,Puerto Narino,CO,72.97,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
161,Ponta Do Sol,PT,66.83,broken clouds,32.6667,-17.1,Hotel do Campo
168,Kamra,PK,64.96,overcast clouds,33.7473,73.5111,Jangle Hotel
170,Nhamunda,BR,74.98,broken clouds,-2.1861,-56.7131,Pousada Da Praia
171,Thompson,CA,60.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
172,Touros,BR,75.96,few clouds,-5.1989,-35.4608,INN NEW HORIZON
175,Williston,US,75.81,broken clouds,48.147,-103.618,Hampton Inn & Suites Williston
176,Churapcha,RU,72.52,overcast clouds,62.0025,132.4325,"""Tusku"""
177,Utinga,BR,79.2,broken clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
178,Longkou,CN,78.46,overcast clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
180,Lasa,IT,65.28,clear sky,46.6166,10.7002,Pension Feldgärtenhof
181,Toumodi,CI,70.83,light rain,6.5613,-5.0158,Hotel Akanza
182,Ribeira Grande,PT,65.34,broken clouds,38.5167,-28.7,Quinta da Meia Eira
