,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Nampa,US,43.5407,-116.5635,76.28,34,0,10.36,clear sky
1,Nizhnevartovsk,RU,60.9344,76.5531,66.22,72,0,8.99,clear sky
2,Bahia Blanca,AR,-38.7196,-62.2724,48.02,76,100,10.54,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,10.36,few clouds
4,Manggar,ID,-2.8833,108.2667,78.26,87,100,16.55,overcast clouds
5,Guerrero Negro,MX,27.9769,-114.0611,73.31,54,0,16.64,clear sky
6,Nanortalik,GL,60.1432,-45.2371,38.88,98,100,9.89,light rain
7,Kapaa,US,22.0752,-159.319,84.18,76,75,12.66,broken clouds
8,Mount Isa,AU,-20.7333,139.5,67.77,49,100,10.36,overcast clouds
9,Foligno,IT,42.944,12.7011,68.13,49,34,5.97,scattered clouds
10,Upernavik,GL,72.7868,-56.1549,33.6,89,9,10.36,clear sky
11,Barberton,ZA,-25.7884,31.0532,57.29,76,66,1.16,broken clouds
12,Santa Marta,CO,11.2408,-74.199,86.05,70,40,13.8,scattered clouds
13,Mogadishu,SO,2.0371,45.3438,78.37,81,51,21.97,light rain
14,Souillac,MU,-20.5167,57.5167,70.18,68,40,13.8,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,70.86,59,83,12.39,broken clouds
16,Chokurdakh,RU,70.6333,147.9167,44.83,42,33,8.48,scattered clouds
17,Barrow,US,71.2906,-156.7887,66.22,52,0,10.36,clear sky
18,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,69,5.01,broken clouds
19,Khatanga,RU,71.9667,102.5,55.18,55,100,12.8,overcast clouds
20,Muzhi,RU,65.3667,64.6667,59.99,90,100,7.09,light rain
21,Yellowknife,CA,62.456,-114.3525,72.12,28,20,10.36,few clouds
22,Flinders,AU,-34.5833,150.8552,60.39,63,85,3.89,overcast clouds
23,Vrable,SK,48.2437,18.3085,69.03,82,87,17.54,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,60.39,77,0,2.3,clear sky
25,Maku,IR,39.2911,44.4521,66.18,64,0,1.03,clear sky
26,Kimbe,PG,-5.5502,150.1429,83.91,68,70,2.19,broken clouds
27,Albany,US,42.6001,-73.9662,77.41,45,64,8.41,broken clouds
28,Lorengau,PG,-2.0226,147.2712,83.3,72,48,5.12,scattered clouds
29,Shimanovsk,RU,52.0,127.7,59.76,99,100,11.45,light rain
30,Pascagoula,US,30.3658,-88.5561,89.64,63,0,6.91,clear sky
31,Lazaro Cardenas,MX,17.9583,-102.2,82.71,73,96,5.53,overcast clouds
32,Busselton,AU,-33.65,115.3333,61.54,75,100,9.91,overcast clouds
33,Lebu,CL,-37.6167,-73.65,48.38,90,100,10.98,light rain
34,Jamestown,US,42.097,-79.2353,67.59,75,100,11.5,overcast clouds
35,Tortoli,IT,39.9256,9.6572,73.22,73,0,9.22,clear sky
36,Kemin,KG,42.7846,75.6892,56.71,90,92,2.15,overcast clouds
37,Lata,PT,40.1629,-8.3327,55.92,96,23,1.88,few clouds
38,Preobrazheniye,RU,42.9019,133.9064,62.02,77,72,10.98,broken clouds
39,Hobart,AU,-42.8794,147.3294,51.66,86,0,8.05,clear sky
40,Champoton,MX,19.35,-90.7167,75.99,90,100,13.24,overcast clouds
41,Cabo San Lucas,MX,22.8909,-109.9124,88.9,54,0,9.22,clear sky
42,Algiers,DZ,36.7525,3.042,73.22,60,40,4.61,scattered clouds
43,New Norfolk,AU,-42.7826,147.0587,51.3,86,100,1.95,light rain
44,Kirakira,SB,-10.4544,161.9205,84.52,70,80,5.17,broken clouds
45,Kalakamati,BW,-20.5929,27.3121,52.77,70,1,13.85,clear sky
46,Esperance,AU,-33.8667,121.9,56.12,83,6,13.06,clear sky
47,Hilo,US,19.7297,-155.09,81.63,85,100,9.22,moderate rain
48,Harper,LR,4.375,-7.7169,75.58,90,100,4.18,moderate rain
49,Hualmay,PE,-11.0964,-77.6139,62.64,78,50,12.35,scattered clouds
50,Qaanaaq,GL,77.484,-69.3632,38.07,79,100,1.28,overcast clouds
51,Fortuna,US,40.5982,-124.1573,74.86,65,0,5.99,clear sky
